,gene_id
371,Arl2
372,Arl2bp
373,Arl3
374,Arl4a
375,Arl4c
376,Arl6
377,Arl6ip1
378,Arl6ip5
379,Arl8a
380,Arl8b
381,Armc1
382,Armc8
383,Armcx1
384,Arnt2
385,Arntl
386,Arpc1a
387,Arpc1b
388,Arpc2
389,Arpc3
390,Arpc4
391,Arpc5
392,Arpc5l
393,Arpp19
394,Arpp21
395,Arrb1
396,Arrdc3
397,Arxes1
398,Arxes2
399,Asah1
400,Asap1
401,Asb13
402,Asb8
403,Ascc3
404,Ash1l
405,Ash2l
406,Asns
407,Aspa
408,Asph
409,Asphd2
410,Aspn
411,Aspscr1
412,Asrgl1
413,Astn1
414,Asxl2
415,Atad1
416,Atat1
417,Atcay
418,Ate1
419,Atf2
420,Atf4
421,Atf7ip
422,Atg12
423,Atg16l1
424,Atg3
425,Atg5
426,Atl1
427,Atl2
428,Atox1
429,Atp11b
430,Atp13a1
431,Atp13a2
432,Atp13a4
433,Atp1a1
434,Atp1a2
435,Atp1a3
436,Atp1b1
437,Atp1b2
438,Atp1b3
439,Atp2a2
440,Atp2b1
441,Atp2b2
442,Atp2b4
443,Atp2c1
444,Atp5a1
445,Atp5b
446,Atp5c1
447,Atp5d
448,Atp5e
449,Atp5f1
450,Atp5g1
451,Atp5g3
452,Atp5h
453,Atp5j
454,Atp5j2
455,Atp5k
456,Atp5o
457,Atp5s
458,Atp6ap1
459,Atp6ap1l
460,Atp6ap2
461,Atp6v0a1
462,Atp6v0b
463,Atp6v0c
464,Atp6v0d1
465,Atp6v0e
466,Atp6v0e2
467,Atp6v1a
468,Atp6v1b2
469,Atp6v1c1
470,Atp6v1d
471,Atp6v1e1
472,Atp6v1f
473,Atp6v1g1
474,Atp6v1g2
475,Atp6v1h
476,Atp8a1
477,Atp9a
478,Atp9b
479,Atpif1
480,Atraid
481,Atrn
482,Atrx
483,Atxn10
484,Atxn2
485,Atxn7l1
486,Atxn7l3b
487,Auh
488,Aup1
489,Aurkaip1
490,Axl
491,Azi2
492,Azin1
493,B230118H07Rik
494,B230216N24Rik
495,B230217C12Rik
496,B230219D22Rik
497,B2m
498,B3galnt1
499,B3galt2
500,B3gnt2
501,B4galnt1
502,B4galt4
503,B4galt6
504,B4gat1
505,B630005N14Rik
506,B930095G15Rik
507,BC003331
508,BC004004
509,BC005561
510,BC005624
511,BC028528
512,BC031181
513,Babam1
514,Bach2
515,Bag1
516,Bag4
517,Bag5
518,Bai2
519,Bai3
520,Baiap2
521,Banf1
522,Banf2
523,Bap1
524,Basp1
525,Baz1b
526,Baz2b
527,Bbip1
528,Bbs4
529,Bcam
530,Bcan
531,Bcap29
532,Bcap31
533,Bcar3
534,Bcas2
535,Bcat1
536,Bccip
537,Bckdhb
538,Bckdk
539,Bcl11a
540,Bcl2
541,Bcl2l1
542,Bcl6
543,Bcl7b
544,Bclaf1
545,Bdnf
546,Bdp1
547,Becn1
548,Bend6
549,Bet1
550,Bex1
551,Bex2
552,Bfar
553,Bgn
554,Bhlhb9
555,Bhlhe40
556,Bicd1
557,Bin1
558,Birc2
559,Birc6
560,Blcap
561,Blmh
562,Blnk
563,Bloc1s1
564,Blvra
565,Bmp1
566,Bmp5
567,Bmpr1a
568,Bmpr2
569,Bmyc
570,Bnip2
571,Bnip3
572,Bnip3l
573,Bod1
574,Bod1l
575,Bok
576,Bpgm
577,Bptf
578,Braf
579,Brcc3
580,Brd4
581,Brd7
582,Brd8
583,Brd9
584,Brinp1
585,Brinp2
586,Brinp3
587,Brix1
588,Brk1
589,Brms1l
590,Brwd1
591,Bscl2
592,Bsg
593,Bsn
594,Bst2
595,Btaf1
596,Btbd1
597,Btbd10
598,Btbd11
599,Btbd17
600,Btbd3
601,Btbd9
602,Btd
603,Btf3
604,Btg1
605,Btg2
606,Btrc
607,Bub3
608,Bud31
609,Bzw1
610,Bzw2
611,C1d
612,C1galt1c1
613,C1qa
614,C1qb
615,C1qbp
616,C1qc
617,C1ql2
618,C1ql3
619,C1qtnf4
620,C2cd5
621,C630043F03Rik
622,C730002L08Rik
623,COX1
624,CYTB
625,Cab39
626,Cacna1e
627,Cacna2d1
628,Cacna2d2
629,Cacna2d3
630,Cacnb4
631,Cacng3
632,Cacng4
633,Cacng5
634,Cacybp
635,Cadm1
636,Cadm2
637,Cadps
638,Cadps2
639,Calb1
640,Calb2
641,Cald1
642,Calm1
643,Calm2
644,Calm3
645,Caln1
646,Calr
647,Calu
648,Caly
649,Camk1
650,Camk1g
651,Camk2a
652,Camk2b
653,Camk2d
654,Camk2g
655,Camk2n1
656,Camk4
657,Camkk1
658,Camkk2
659,Camkv
660,Caml
661,Camsap2
662,Camta1
663,Cand1
664,Canx
665,Cap2
666,Capn2
667,Capn7
668,Caprin1
669,Capza2
670,Capzb
671,Car10
672,Car2
673,Car4
674,Car8
675,Carkd
676,Cars
677,Cartpt
678,Casc4
679,Casd1
680,Cat
681,Cav1
682,Cav2
683,Cbln2
684,Cbln4
685,Cbr1
686,Cbs
687,Cbx5
688,Cbx6
689,Ccar1
690,Ccdc107
691,Ccdc124
692,Ccdc127
693,Ccdc132
694,Ccdc136
695,Ccdc141
696,Ccdc186
697,Ccdc25
698,Ccdc3
699,Ccdc32
700,Ccdc47
701,Ccdc50
702,Ccdc85b
703,Ccdc88a
704,Ccdc90b
705,Cck
706,Cckbr
707,Ccl27a
708,Ccnc
709,Ccnd1
710,Ccnd2
711,Ccnd3
712,Ccndbp1
713,Ccne1
714,Ccng1
715,Ccnh
716,Ccni
717,Ccnl1
718,Ccnl2
719,Ccnt2
720,Ccny
721,Ccp110
722,Ccpg1
723,Ccrn4l
724,Ccsap
725,Ccser2
726,Cct2
727,Cct3
728,Cct4
729,Cct5
730,Cct6a
731,Cct7
732,Cct8
733,Cd164
734,Cd200
735,Cd24a
736,Cd302
737,Cd320
738,Cd34
739,Cd47
740,Cd53
741,Cd59a
742,Cd63
743,Cd68
744,Cd81
745,Cd82
746,Cd9
747,Cd97
748,Cdadc1
749,Cdc123
750,Cdc16
751,Cdc23
752,Cdc27
753,Cdc37
754,Cdc37l1
755,Cdc42
756,Cdc42bpa
757,Cdc42ep3
758,Cdc42se1
759,Cdc42se2
760,Cdc5l
761,Cdh10
762,Cdh11
763,Cdh12
764,Cdh13
765,Cdh4
766,Cdh6
767,Cdh8
768,Cdh9
769,Cdip1
770,Cdipt
771,Cdk11b
772,Cdk14
773,Cdk16
774,Cdk17
775,Cdk19
776,Cdk2ap2
777,Cdk4
778,Cdk5
779,Cdk5r1
780,Cdk7
781,Cdkn1a
782,Cdkn2aipnl
783,Cdkn2d
784,Cdo1
785,Cdr1
786,Cds1
787,Cds2
788,Cebpg
789,Celf1
790,Celf2
791,Celf4
792,Celf6
793,Celsr2
794,Celsr3
795,Cend1
796,Cenpa
797,Cep112
798,Cep170
799,Cep19
800,Cep350
801,Cep70
802,Cep85l
803,Cept1
804,Cerk
805,Cers2
806,Cers4
807,Cers5
808,Cetn2
809,Cetn3
810,Cfap20
811,Cfap36
812,Cfdp1
813,Cfh
814,Cfl1
815,Cfl2
816,Cggbp1
817,Cgnl1
818,Cgrrf1
819,Chac1
820,Chat
821,Chchd1
822,Chchd10
823,Chchd2
824,Chchd3
825,Chchd4
826,Chchd6
827,Chd3os
828,Chd6
829,Chd7
830,Chd9
831,Chga
832,Chgb
833,Chka
834,Chl1
835,Chm
836,Chmp1a
837,Chmp1b
838,Chmp2a
839,Chmp2b
840,Chmp3
841,Chmp5
842,Chmp7
843,Chn1
844,Chn2
845,Chodl
846,Chordc1
847,Chp1
848,Chpf
849,Chpt1
850,Chrdl1
851,Chrm2
852,Chrna6
853,Chst1
854,Chst10
855,Chst2
856,Chst9
857,Chtop
858,Chuk
859,Churc1
860,Ciao1
861,Ciapin1
862,Cib1
863,Cinp
864,Cipc
865,Cirbp
866,Cirh1a
867,Cisd1
